Simulation Time,used STY,used MDO
0.745121,2.48E-06,6.60E-07
1.12726,4.97E-06,1.32E-06
1.48783,7.46E-06,1.99E-06
1.80858,9.95E-06,2.65E-06
2.12012,1.24E-05,3.32E-06
2.44079,1.49E-05,3.98E-06
2.75858,1.74E-05,4.65E-06
3.07483,1.99E-05,5.31E-06
3.40453,2.24E-05,5.98E-06
3.71675,2.48E-05,6.64E-06
4.03043,2.73E-05,7.30E-06
4.35626,2.98E-05,7.97E-06
4.66983,3.23E-05,8.63E-06
4.97765,3.48E-05,9.30E-06
5.28312,3.73E-05,9.96E-06
5.59739,3.98E-05,1.06E-05
5.91345,4.23E-05,1.13E-05
6.24194,4.47E-05,1.19E-05
6.58313,4.72E-05,1.26E-05
6.90351,4.97E-05,1.33E-05
7.22445,5.22E-05,1.39E-05
7.54054,5.47E-05,1.46E-05
7.85753,5.72E-05,1.53E-05
8.16883,5.97E-05,1.59E-05
8.4783,6.21E-05,1.66E-05
8.79094,6.46E-05,1.73E-05
9.10394,6.71E-05,1.79E-05
9.4205,6.96E-05,1.86E-05
9.74564,7.21E-05,1.93E-05
10.0705,7.46E-05,1.99E-05
10.4014,7.70E-05,2.06E-05
10.7285,7.95E-05,2.13E-05
11.0642,8.20E-05,2.19E-05
11.3934,8.45E-05,2.26E-05
11.7124,8.70E-05,2.32E-05
12.0349,8.95E-05,2.39E-05
12.3619,9.20E-05,2.46E-05
12.6928,9.44E-05,2.52E-05
13.0127,9.69E-05,2.59E-05
13.33,9.94E-05,2.66E-05
13.6422,0.000101896,2.72E-05
13.9604,0.00010438,2.79E-05
14.2797,0.000106867,2.86E-05
14.5882,0.000109353,2.92E-05
14.912,0.000111837,2.99E-05
15.2311,0.000114324,3.05E-05
15.5679,0.000116809,3.12E-05
15.9027,0.000119288,3.19E-05
16.2212,0.000121779,3.25E-05
16.5365,0.000124263,3.32E-05
16.8437,0.000126749,3.39E-05
17.1555,0.000129237,3.45E-05
17.4684,0.000131725,3.52E-05
17.7929,0.000134204,3.59E-05
18.1163,0.000136691,3.65E-05
18.4495,0.000139176,3.72E-05
18.7768,0.000141654,3.79E-05
