Simulation Time,used STY,used MDO
4.01253,2.86E-06,1.57E-07
7.53868,5.73E-06,3.08E-07
10.9971,8.60E-06,4.62E-07
14.4736,1.15E-05,6.11E-07
18.0085,1.43E-05,7.64E-07
21.4383,1.72E-05,9.15E-07
24.952,2.01E-05,1.07E-06
28.4452,2.30E-05,1.22E-06
31.8467,2.58E-05,1.37E-06
35.2693,2.87E-05,1.53E-06
38.8131,3.16E-05,1.68E-06
42.3192,3.44E-05,1.83E-06
45.7782,3.73E-05,1.98E-06
49.2432,4.02E-05,2.13E-06
52.7109,4.31E-05,2.29E-06
56.3379,4.59E-05,2.44E-06
59.8421,4.88E-05,2.59E-06
63.3084,5.17E-05,2.74E-06
66.7303,5.46E-05,2.89E-06
70.1564,5.74E-05,3.05E-06
73.6223,6.03E-05,3.19E-06
77.097,6.32E-05,3.35E-06
80.5677,6.60E-05,3.50E-06
83.9534,6.89E-05,3.66E-06
87.4006,7.18E-05,3.81E-06
90.8089,7.47E-05,3.96E-06
94.3007,7.75E-05,4.11E-06
97.79,8.04E-05,4.27E-06
101.197,8.33E-05,4.42E-06
104.56,8.61E-05,4.57E-06
108.002,8.90E-05,4.72E-06
111.453,9.19E-05,4.88E-06
114.935,9.48E-05,5.03E-06
118.381,9.76E-05,5.18E-06
121.9,0.000100503,5.33E-06
125.337,0.000103375,5.49E-06
128.768,0.000106242,5.64E-06
132.21,0.000109115,5.80E-06
135.696,0.000111992,5.95E-06
139.179,0.000114862,6.10E-06
142.679,0.000117732,6.25E-06
146.217,0.0001206,6.41E-06
149.671,0.000123467,6.56E-06
153.207,0.000126339,6.71E-06
156.623,0.000129212,6.86E-06
160.189,0.000132078,7.02E-06
163.635,0.000134947,7.17E-06
167.095,0.00013782,7.32E-06
170.513,0.000140691,7.47E-06
173.889,0.000143562,7.63E-06
177.442,0.000146428,7.78E-06
181.043,0.000149299,7.94E-06
184.514,0.00015217,8.09E-06
188.031,0.000155042,8.24E-06
191.517,0.000157904,8.40E-06
194.891,0.00016078,8.55E-06
198.373,0.00016365,8.70E-06
201.914,0.000166521,8.86E-06
205.412,0.000169395,9.01E-06
208.879,0.000172272,9.16E-06
